"","V1"
"alcohol 14:sulfonyl-fluoride4",12.4121754074102
"alcohol 15:base 1",-0.733774231131715
"alcohol 15:base 2",-1.70641528251516
"alcohol 15:base 3",2.19526011336647
"alcohol 15:sulfonyl-fluoride1",-0.949130262538627
"alcohol 15:sulfonyl-fluoride2",-1.16218485272744
"alcohol 15:sulfonyl-fluoride3",-0.320798549913884
"alcohol 15:sulfonyl-fluoride4",-0.278654870668338
"alcohol 16:base 1",0
"alcohol 16:base 2",1.89941980602515
"alcohol 16:base 3",-2.19242340559095
"alcohol 16:sulfonyl-fluoride1",0
"alcohol 16:sulfonyl-fluoride2",0
"alcohol 16:sulfonyl-fluoride3",-1.95202816007647e-05
"alcohol 16:sulfonyl-fluoride4",-2.36640264106867
"alcohol 17:base 1",0
"alcohol 17:base 2",0
"alcohol 17:base 3",-5.79332396426985e-05
"alcohol 17:sulfonyl-fluoride1",0
"alcohol 17:sulfonyl-fluoride2",-7.71905475317258e-05
"alcohol 17:sulfonyl-fluoride3",0
"alcohol 17:sulfonyl-fluoride4",4.03949040737549
"alcohol 18:base 1",1.88451582486212
"alcohol 18:base 2",2.18084293461009
"alcohol 18:base 3",-4.16804254613032
"alcohol 18:sulfonyl-fluoride1",0
"alcohol 18:sulfonyl-fluoride2",0
"alcohol 18:sulfonyl-fluoride3",-2.83902450784178e-05
"alcohol 18:sulfonyl-fluoride4",-3.54163266336145
"alcohol 19:base 1",-2.25255705854957e-05
"alcohol 19:base 2",-1.22345953819134
"alcohol 19:base 3",1.9437524470163
"alcohol 19:sulfonyl-fluoride1",0.0594146113037133
"alcohol 19:sulfonyl-fluoride2",-0.497270970361351
"alcohol 19:sulfonyl-fluoride3",0
"alcohol 19:sulfonyl-fluoride4",-3.08174244878237
"alcohol 20:base 1",-1.68731631262916e-06
"alcohol 20:base 2",0.332795021278911
"alcohol 20:base 3",0
"alcohol 20:sulfonyl-fluoride1",-4.04199822894311e-07
"alcohol 20:sulfonyl-fluoride2",-1.07351316930115
"alcohol 20:sulfonyl-fluoride3",0
"alcohol 20:sulfonyl-fluoride4",-1.47207117480994
"alcohol 21:base 1",-2.29836554117585e-05
"alcohol 21:base 2",-1.31840246619242
"alcohol 21:base 3",6.40130272609285e-05
"alcohol 21:sulfonyl-fluoride1",0
"alcohol 21:sulfonyl-fluoride2",0.737762570803062
"alcohol 21:sulfonyl-fluoride3",0.151536459671322
"alcohol 21:sulfonyl-fluoride4",-4.41550205545088
"alcohol 22:base 1",0
"alcohol 22:base 2",6.41599548143279e-06
"alcohol 22:base 3",-0.181448752589717
"alcohol 22:sulfonyl-fluoride1",0
"alcohol 22:sulfonyl-fluoride2",0
"alcohol 22:sulfonyl-fluoride3",0
"alcohol 22:sulfonyl-fluoride4",-1.27732473270342
"alcohol 23:base 1",-1.40987506122061
"alcohol 23:base 2",-0.26109141222949
"alcohol 23:base 3",1.36942473532254
"alcohol 23:sulfonyl-fluoride1",-0.227972745891229
"alcohol 23:sulfonyl-fluoride2",-1.21943243309226
"alcohol 23:sulfonyl-fluoride3",0
"alcohol 23:sulfonyl-fluoride4",0
"alcohol 24:base 1",0
"alcohol 24:base 2",-0.493005838608424
"alcohol 24:base 3",0
"alcohol 24:sulfonyl-fluoride1",0
"alcohol 24:sulfonyl-fluoride2",-8.29053595239721e-05
"alcohol 24:sulfonyl-fluoride3",0
"alcohol 24:sulfonyl-fluoride4",16.5964263285648
"alcohol 25:base 1",0
"alcohol 25:base 2",2.42304071123204e-05
"alcohol 25:base 3",-4.68471919236499e-05
"alcohol 25:sulfonyl-fluoride1",-0.419318761198375
"alcohol 25:sulfonyl-fluoride2",-2.82377537662299
"alcohol 25:sulfonyl-fluoride3",1.01237090397212e-05
"alcohol 25:sulfonyl-fluoride4",18.7339149016255
"alcohol 26:base 1",0
"alcohol 26:base 2",-0.0669592598593385
"alcohol 26:base 3",0
"alcohol 26:sulfonyl-fluoride1",0
"alcohol 26:sulfonyl-fluoride2",-4.86045287194291e-05
"alcohol 26:sulfonyl-fluoride3",0.741006419359706
"alcohol 26:sulfonyl-fluoride4",6.68003678019432
"alcohol 27:base 1",0
"alcohol 27:base 2",-0.240476480885792
"alcohol 27:base 3",0
"alcohol 27:sulfonyl-fluoride1",0
"alcohol 27:sulfonyl-fluoride2",-6.3501825373872e-05
"alcohol 27:sulfonyl-fluoride3",0
"alcohol 27:sulfonyl-fluoride4",0
"alcohol 28:base 1",-1.18343511971828
"alcohol 28:base 2",-1.04869792540208
"alcohol 28:base 3",1.89652325487257
"alcohol 28:sulfonyl-fluoride1",0
"alcohol 28:sulfonyl-fluoride2",-2.61832354359445
"alcohol 28:sulfonyl-fluoride3",0.231114694872236
"alcohol 28:sulfonyl-fluoride4",-0.958175017787484
"alcohol 29:base 1",1.98018964303817
"alcohol 29:base 2",3.43135622312867
"alcohol 29:base 3",-2.9369123381996
"alcohol 29:sulfonyl-fluoride1",-4.14867642624256e-06
"alcohol 29:sulfonyl-fluoride2",0.757118661501175
"alcohol 29:sulfonyl-fluoride3",-1.04235416275698e-05
"alcohol 29:sulfonyl-fluoride4",-3.70509790239945
"alcohol 30:base 1",-1.26693392811668e-07
"alcohol 30:base 2",-0.110135001439352
"alcohol 30:base 3",1.01942869803049
"alcohol 30:sulfonyl-fluoride1",0.469115239231013
"alcohol 30:sulfonyl-fluoride2",3.4874307612177
"alcohol 30:sulfonyl-fluoride3",1.24524333603119
"alcohol 30:sulfonyl-fluoride4",-0.206933747655363
"alcohol 31:base 1",-0.30381480642145
"alcohol 31:base 2",-0.238430118686764
"alcohol 31:base 3",0.665796340148185
"alcohol 31:sulfonyl-fluoride1",0
"alcohol 31:sulfonyl-fluoride2",1.81729619887814
"alcohol 31:sulfonyl-fluoride3",0
"alcohol 31:sulfonyl-fluoride4",-2.42859197101801
"alcohol 32:base 1",0
"alcohol 32:base 2",-1.24202954978218
"alcohol 32:base 3",1.39090380227413
"alcohol 32:sulfonyl-fluoride1",1.65619919887415
"alcohol 32:sulfonyl-fluoride2",1.60905000616152
"alcohol 32:sulfonyl-fluoride3",0.952861004116026
"alcohol 32:sulfonyl-fluoride4",-6.07658313701019
"alcohol 33:base 1",-1.12225775095097
"alcohol 33:base 2",-0.625939317065655
"alcohol 33:base 3",0
"alcohol 33:sulfonyl-fluoride1",-0.328452963213773
"alcohol 33:sulfonyl-fluoride2",-1.95508006097075
"alcohol 33:sulfonyl-fluoride3",0
"alcohol 33:sulfonyl-fluoride4",-0.433372664627137
"alcohol 34:base 1",0
"alcohol 34:base 2",1.84908442900344
"alcohol 34:base 3",-1.25723409324621
"alcohol 34:sulfonyl-fluoride1",7.64542706852425e-07
"alcohol 34:sulfonyl-fluoride2",1.50148903027889
"alcohol 34:sulfonyl-fluoride3",0
"alcohol 34:sulfonyl-fluoride4",-3.44857751413656
"alcohol 35:base 1",0
"alcohol 35:base 2",-0.263197611844039
"alcohol 35:base 3",0.139247694525216
"alcohol 35:sulfonyl-fluoride1",1.52755393085821
"alcohol 35:sulfonyl-fluoride2",2.12930459287311
"alcohol 35:sulfonyl-fluoride3",0.792207313815013
"alcohol 35:sulfonyl-fluoride4",-4.09467810371975
"alcohol 36:base 1",0
"alcohol 36:base 2",4.78366993426395e-05
"alcohol 36:base 3",0
"alcohol 36:sulfonyl-fluoride1",1.87266321057748e-05
"alcohol 36:sulfonyl-fluoride2",-0.000123231111482602
"alcohol 36:sulfonyl-fluoride3",4.70506275360499e-05
"alcohol 36:sulfonyl-fluoride4",0.000318877634522069
"base 1:sulfonyl-fluoride1",0.108280405112049
"base 1:sulfonyl-fluoride2",0
"base 1:sulfonyl-fluoride3",0.207258122283886
"base 1:sulfonyl-fluoride4",-1.43518271536487e-05
"base 2:sulfonyl-fluoride1",0.319404763684724
"base 2:sulfonyl-fluoride2",0.278424701789746
"base 2:sulfonyl-fluoride3",-0.415567680513326
