"","V1"
"alcohol 15:sulfonyl-fluoride4",-0.293279853138168
"alcohol 16:base 1",0
"alcohol 16:base 2",0.941528564415548
"alcohol 16:base 3",-1.64712145100615
"alcohol 16:sulfonyl-fluoride1",0
"alcohol 16:sulfonyl-fluoride2",0
"alcohol 16:sulfonyl-fluoride3",0
"alcohol 16:sulfonyl-fluoride4",-1.7721291803775
"alcohol 17:base 1",0
"alcohol 17:base 2",0
"alcohol 17:base 3",0
"alcohol 17:sulfonyl-fluoride1",0
"alcohol 17:sulfonyl-fluoride2",0
"alcohol 17:sulfonyl-fluoride3",0
"alcohol 17:sulfonyl-fluoride4",2.73214985546125
"alcohol 18:base 1",0.867987532122024
"alcohol 18:base 2",1.84013587813327
"alcohol 18:base 3",-3.75043763728665
"alcohol 18:sulfonyl-fluoride1",0
"alcohol 18:sulfonyl-fluoride2",0
"alcohol 18:sulfonyl-fluoride3",0
"alcohol 18:sulfonyl-fluoride4",-2.41877985072673
"alcohol 19:base 1",0
"alcohol 19:base 2",-0.565074579018233
"alcohol 19:base 3",1.36134565219956
"alcohol 19:sulfonyl-fluoride1",0.0251299049137801
"alcohol 19:sulfonyl-fluoride2",-0.20712584612332
"alcohol 19:sulfonyl-fluoride3",0
"alcohol 19:sulfonyl-fluoride4",-2.70898169468619
"alcohol 20:base 1",0
"alcohol 20:base 2",0.131991557178839
"alcohol 20:base 3",0
"alcohol 20:sulfonyl-fluoride1",0
"alcohol 20:sulfonyl-fluoride2",-0.559956434689292
"alcohol 20:sulfonyl-fluoride3",0
"alcohol 20:sulfonyl-fluoride4",-1.10538069118044
"alcohol 21:base 1",0
"alcohol 21:base 2",-0.846575946380886
"alcohol 21:base 3",0
"alcohol 21:sulfonyl-fluoride1",0
"alcohol 21:sulfonyl-fluoride2",0.220687116160266
"alcohol 21:sulfonyl-fluoride3",0.0691751955307945
"alcohol 21:sulfonyl-fluoride4",-3.77348087124477
"alcohol 22:base 1",0
"alcohol 22:base 2",0
"alcohol 22:base 3",-0.035397022218552
"alcohol 22:sulfonyl-fluoride1",0
"alcohol 22:sulfonyl-fluoride2",0
"alcohol 22:sulfonyl-fluoride3",0
"alcohol 22:sulfonyl-fluoride4",-1.10899597490077
"alcohol 23:base 1",-0.845808917291441
"alcohol 23:base 2",-0.0931231753944957
"alcohol 23:base 3",0.770668545230352
"alcohol 23:sulfonyl-fluoride1",-0.0727833788636498
"alcohol 23:sulfonyl-fluoride2",-0.963906343423079
"alcohol 23:sulfonyl-fluoride3",0
"alcohol 23:sulfonyl-fluoride4",0
"alcohol 24:base 1",0
"alcohol 24:base 2",-0.204286437544174
"alcohol 24:base 3",0
"alcohol 24:sulfonyl-fluoride1",0
"alcohol 24:sulfonyl-fluoride2",0
"alcohol 24:sulfonyl-fluoride3",0
"alcohol 24:sulfonyl-fluoride4",14.5974373815725
"alcohol 25:base 1",0
"alcohol 25:base 2",0
"alcohol 25:base 3",0
"alcohol 25:sulfonyl-fluoride1",-0.163158666586854
"alcohol 25:sulfonyl-fluoride2",-1.73149767552553
"alcohol 25:sulfonyl-fluoride3",0
"alcohol 25:sulfonyl-fluoride4",14.1507568554536
"alcohol 26:base 1",0
"alcohol 26:base 2",-0.0292748878651803
"alcohol 26:base 3",0
"alcohol 26:sulfonyl-fluoride1",0
"alcohol 26:sulfonyl-fluoride2",0
"alcohol 26:sulfonyl-fluoride3",0.420449901912982
"alcohol 26:sulfonyl-fluoride4",6.73002328446113
"alcohol 27:base 1",0
"alcohol 27:base 2",-0.102384625697413
"alcohol 27:base 3",0
"alcohol 27:sulfonyl-fluoride1",0
"alcohol 27:sulfonyl-fluoride2",0
"alcohol 27:sulfonyl-fluoride3",0
"alcohol 27:sulfonyl-fluoride4",0
"alcohol 28:base 1",-0.758352395822652
"alcohol 28:base 2",-0.865930148275832
"alcohol 28:base 3",1.40586432066793
"alcohol 28:sulfonyl-fluoride1",0
"alcohol 28:sulfonyl-fluoride2",-1.99141582344967
"alcohol 28:sulfonyl-fluoride3",0.278937880674923
"alcohol 28:sulfonyl-fluoride4",-0.444816813413047
"alcohol 29:base 1",1.5441886040441
"alcohol 29:base 2",2.96865610040352
"alcohol 29:base 3",-2.18117690112078
"alcohol 29:sulfonyl-fluoride1",0
"alcohol 29:sulfonyl-fluoride2",0.282158684193731
"alcohol 29:sulfonyl-fluoride3",0
"alcohol 29:sulfonyl-fluoride4",-2.80855864370017
"alcohol 30:base 1",0
"alcohol 30:base 2",-0.112552125369574
"alcohol 30:base 3",0.639940271133593
"alcohol 30:sulfonyl-fluoride1",0.93660027322232
"alcohol 30:sulfonyl-fluoride2",2.65086907398188
"alcohol 30:sulfonyl-fluoride3",1.7341370546206
"alcohol 30:sulfonyl-fluoride4",-0.317491596655796
"alcohol 31:base 1",-0.0492080617359185
"alcohol 31:base 2",-0.108258742188252
"alcohol 31:base 3",0.224650291532663
"alcohol 31:sulfonyl-fluoride1",0
"alcohol 31:sulfonyl-fluoride2",1.24727318088228
"alcohol 31:sulfonyl-fluoride3",0
"alcohol 31:sulfonyl-fluoride4",-2.05133041847672
"alcohol 32:base 1",0
"alcohol 32:base 2",-0.898280579589792
"alcohol 32:base 3",1.00111306839129
"alcohol 32:sulfonyl-fluoride1",0.905282059973365
"alcohol 32:sulfonyl-fluoride2",1.23452477504006
"alcohol 32:sulfonyl-fluoride3",0.672677908256394
"alcohol 32:sulfonyl-fluoride4",-4.99028366046861
"alcohol 33:base 1",-0.819735537250174
"alcohol 33:base 2",-0.576310367185885
"alcohol 33:base 3",0
"alcohol 33:sulfonyl-fluoride1",-0.267472573156566
"alcohol 33:sulfonyl-fluoride2",-1.54906119645913
"alcohol 33:sulfonyl-fluoride3",0
"alcohol 33:sulfonyl-fluoride4",-0.5549536042675
"alcohol 34:base 1",0
"alcohol 34:base 2",0.981475170674411
"alcohol 34:base 3",-0.270142384359758
"alcohol 34:sulfonyl-fluoride1",0
"alcohol 34:sulfonyl-fluoride2",0.572000771568919
"alcohol 34:sulfonyl-fluoride3",0
"alcohol 34:sulfonyl-fluoride4",-2.35907266208589
"alcohol 35:base 1",0
"alcohol 35:base 2",-0.125082771486563
"alcohol 35:base 3",0.0562344711196985
"alcohol 35:sulfonyl-fluoride1",0.692671270151419
"alcohol 35:sulfonyl-fluoride2",1.7976771224967
"alcohol 35:sulfonyl-fluoride3",0.468763660903505
"alcohol 35:sulfonyl-fluoride4",-3.11617962440037
"alcohol 36:base 1",0
"alcohol 36:base 2",0
"alcohol 36:base 3",0
"alcohol 36:sulfonyl-fluoride1",0
"alcohol 36:sulfonyl-fluoride2",0
"alcohol 36:sulfonyl-fluoride3",0
"alcohol 36:sulfonyl-fluoride4",0
"base 1:sulfonyl-fluoride1",0.101202164029192
"base 1:sulfonyl-fluoride2",0
"base 1:sulfonyl-fluoride3",0.169833678819361
"base 1:sulfonyl-fluoride4",0
"base 2:sulfonyl-fluoride1",0.245316097213141
"base 2:sulfonyl-fluoride2",0.168450412099362
"base 2:sulfonyl-fluoride3",-0.195537677737102
"base 2:sulfonyl-fluoride4",0.0869473172504106
"base 3:sulfonyl-fluoride1",-0.306829048486914
"base 3:sulfonyl-fluoride2",-0.245930076892251
"base 3:sulfonyl-fluoride3",0.0828605246353892
"base 3:sulfonyl-fluoride4",0
"alcohol 1:base 1:sulfonyl-fluoride1",0
"alcohol 1:base 1:sulfonyl-fluoride2",0
"alcohol 1:base 1:sulfonyl-fluoride3",0
"alcohol 1:base 1:sulfonyl-fluoride4",0
"alcohol 1:base 2:sulfonyl-fluoride1",0
"alcohol 1:base 2:sulfonyl-fluoride2",0
"alcohol 1:base 2:sulfonyl-fluoride3",0
"alcohol 1:base 2:sulfonyl-fluoride4",0
"alcohol 1:base 3:sulfonyl-fluoride1",0
"alcohol 1:base 3:sulfonyl-fluoride2",0
"alcohol 1:base 3:sulfonyl-fluoride3",0
"alcohol 1:base 3:sulfonyl-fluoride4",0
"alcohol 2:base 1:sulfonyl-fluoride1",0
"alcohol 2:base 1:sulfonyl-fluoride2",0
"alcohol 2:base 1:sulfonyl-fluoride3",0
"alcohol 2:base 1:sulfonyl-fluoride4",0
"alcohol 2:base 2:sulfonyl-fluoride1",0
"alcohol 2:base 2:sulfonyl-fluoride2",0
"alcohol 2:base 2:sulfonyl-fluoride3",0
"alcohol 2:base 2:sulfonyl-fluoride4",-0.0367416445411473
"alcohol 2:base 3:sulfonyl-fluoride1",0
"alcohol 2:base 3:sulfonyl-fluoride2",0
"alcohol 2:base 3:sulfonyl-fluoride3",0
"alcohol 2:base 3:sulfonyl-fluoride4",0
"alcohol 3:base 1:sulfonyl-fluoride1",0
"alcohol 3:base 1:sulfonyl-fluoride2",0
"alcohol 3:base 1:sulfonyl-fluoride3",0
"alcohol 3:base 1:sulfonyl-fluoride4",0
"alcohol 3:base 2:sulfonyl-fluoride1",0
"alcohol 3:base 2:sulfonyl-fluoride2",0
"alcohol 3:base 2:sulfonyl-fluoride3",0
"alcohol 3:base 2:sulfonyl-fluoride4",0
"alcohol 3:base 3:sulfonyl-fluoride1",0
"alcohol 3:base 3:sulfonyl-fluoride2",0
"alcohol 3:base 3:sulfonyl-fluoride3",0
"alcohol 3:base 3:sulfonyl-fluoride4",0
"alcohol 4:base 1:sulfonyl-fluoride1",0
"alcohol 4:base 1:sulfonyl-fluoride2",0
"alcohol 4:base 1:sulfonyl-fluoride3",0
"alcohol 4:base 1:sulfonyl-fluoride4",0
"alcohol 4:base 2:sulfonyl-fluoride1",0
"alcohol 4:base 2:sulfonyl-fluoride2",0
"alcohol 4:base 2:sulfonyl-fluoride3",0
"alcohol 4:base 2:sulfonyl-fluoride4",0
"alcohol 4:base 3:sulfonyl-fluoride1",0
"alcohol 4:base 3:sulfonyl-fluoride2",0
"alcohol 4:base 3:sulfonyl-fluoride3",0
"alcohol 4:base 3:sulfonyl-fluoride4",0
"alcohol 5:base 1:sulfonyl-fluoride1",0
"alcohol 5:base 1:sulfonyl-fluoride2",0
"alcohol 5:base 1:sulfonyl-fluoride3",0
"alcohol 5:base 1:sulfonyl-fluoride4",0
"alcohol 5:base 2:sulfonyl-fluoride1",0
"alcohol 5:base 2:sulfonyl-fluoride2",0
"alcohol 5:base 2:sulfonyl-fluoride3",0
"alcohol 5:base 2:sulfonyl-fluoride4",0
"alcohol 5:base 3:sulfonyl-fluoride1",0
"alcohol 5:base 3:sulfonyl-fluoride2",0
"alcohol 5:base 3:sulfonyl-fluoride3",0.232412909290266
"alcohol 5:base 3:sulfonyl-fluoride4",0
"alcohol 6:base 1:sulfonyl-fluoride1",0
"alcohol 6:base 1:sulfonyl-fluoride2",0
"alcohol 6:base 1:sulfonyl-fluoride3",0
"alcohol 6:base 1:sulfonyl-fluoride4",0
"alcohol 6:base 2:sulfonyl-fluoride1",0
"alcohol 6:base 2:sulfonyl-fluoride2",0
"alcohol 6:base 2:sulfonyl-fluoride3",0
"alcohol 6:base 2:sulfonyl-fluoride4",0
"alcohol 6:base 3:sulfonyl-fluoride1",0
"alcohol 6:base 3:sulfonyl-fluoride2",0
"alcohol 6:base 3:sulfonyl-fluoride3",0
"alcohol 6:base 3:sulfonyl-fluoride4",0
"alcohol 7:base 1:sulfonyl-fluoride1",0
"alcohol 7:base 1:sulfonyl-fluoride2",0
"alcohol 7:base 1:sulfonyl-fluoride3",0
"alcohol 7:base 1:sulfonyl-fluoride4",0
"alcohol 7:base 2:sulfonyl-fluoride1",0
"alcohol 7:base 2:sulfonyl-fluoride2",0
"alcohol 7:base 2:sulfonyl-fluoride3",0
"alcohol 7:base 2:sulfonyl-fluoride4",0.130853989541863
"alcohol 7:base 3:sulfonyl-fluoride1",0
"alcohol 7:base 3:sulfonyl-fluoride2",0
"alcohol 7:base 3:sulfonyl-fluoride3",0
"alcohol 7:base 3:sulfonyl-fluoride4",0
"alcohol 8:base 1:sulfonyl-fluoride1",0
"alcohol 8:base 1:sulfonyl-fluoride2",0
"alcohol 8:base 1:sulfonyl-fluoride3",0
"alcohol 8:base 1:sulfonyl-fluoride4",0
"alcohol 8:base 2:sulfonyl-fluoride1",0
"alcohol 8:base 2:sulfonyl-fluoride2",0
"alcohol 8:base 2:sulfonyl-fluoride3",0
"alcohol 8:base 2:sulfonyl-fluoride4",0
"alcohol 8:base 3:sulfonyl-fluoride1",0
"alcohol 8:base 3:sulfonyl-fluoride2",0
"alcohol 8:base 3:sulfonyl-fluoride3",0
"alcohol 8:base 3:sulfonyl-fluoride4",0
"alcohol 9:base 1:sulfonyl-fluoride1",0
"alcohol 9:base 1:sulfonyl-fluoride2",0
"alcohol 9:base 1:sulfonyl-fluoride3",0
"alcohol 9:base 1:sulfonyl-fluoride4",0
"alcohol 9:base 2:sulfonyl-fluoride1",0
"alcohol 9:base 2:sulfonyl-fluoride2",0
"alcohol 9:base 2:sulfonyl-fluoride3",0
"alcohol 9:base 2:sulfonyl-fluoride4",0.0429992505554877
"alcohol 9:base 3:sulfonyl-fluoride1",0
"alcohol 9:base 3:sulfonyl-fluoride2",0
"alcohol 9:base 3:sulfonyl-fluoride3",0
"alcohol 9:base 3:sulfonyl-fluoride4",0
"alcohol 10:base 1:sulfonyl-fluoride1",0
"alcohol 10:base 1:sulfonyl-fluoride2",0
"alcohol 10:base 1:sulfonyl-fluoride3",0
"alcohol 10:base 1:sulfonyl-fluoride4",0
"alcohol 10:base 2:sulfonyl-fluoride1",0
"alcohol 10:base 2:sulfonyl-fluoride2",0
"alcohol 10:base 2:sulfonyl-fluoride3",0
"alcohol 10:base 2:sulfonyl-fluoride4",0
"alcohol 10:base 3:sulfonyl-fluoride1",0
"alcohol 10:base 3:sulfonyl-fluoride2",0
"alcohol 10:base 3:sulfonyl-fluoride3",0
"alcohol 10:base 3:sulfonyl-fluoride4",0
"alcohol 11:base 1:sulfonyl-fluoride1",0
"alcohol 11:base 1:sulfonyl-fluoride2",0
"alcohol 11:base 1:sulfonyl-fluoride3",0
"alcohol 11:base 1:sulfonyl-fluoride4",0
"alcohol 11:base 2:sulfonyl-fluoride1",0
"alcohol 11:base 2:sulfonyl-fluoride2",0
"alcohol 11:base 2:sulfonyl-fluoride3",0
"alcohol 11:base 2:sulfonyl-fluoride4",0
"alcohol 11:base 3:sulfonyl-fluoride1",0
"alcohol 11:base 3:sulfonyl-fluoride2",0
"alcohol 11:base 3:sulfonyl-fluoride3",0
"alcohol 11:base 3:sulfonyl-fluoride4",0
"alcohol 12:base 1:sulfonyl-fluoride1",0
"alcohol 12:base 1:sulfonyl-fluoride2",0
"alcohol 12:base 1:sulfonyl-fluoride3",0
"alcohol 12:base 1:sulfonyl-fluoride4",0
"alcohol 12:base 2:sulfonyl-fluoride1",0
"alcohol 12:base 2:sulfonyl-fluoride2",0
"alcohol 12:base 2:sulfonyl-fluoride3",0
"alcohol 12:base 2:sulfonyl-fluoride4",0
"alcohol 12:base 3:sulfonyl-fluoride1",0
"alcohol 12:base 3:sulfonyl-fluoride2",-0.0756307165537974
"alcohol 12:base 3:sulfonyl-fluoride3",0
"alcohol 12:base 3:sulfonyl-fluoride4",0
"alcohol 13:base 1:sulfonyl-fluoride1",0
"alcohol 13:base 1:sulfonyl-fluoride2",0
"alcohol 13:base 1:sulfonyl-fluoride3",0
"alcohol 13:base 1:sulfonyl-fluoride4",0
"alcohol 13:base 2:sulfonyl-fluoride1",0
"alcohol 13:base 2:sulfonyl-fluoride2",0
"alcohol 13:base 2:sulfonyl-fluoride3",0
"alcohol 13:base 2:sulfonyl-fluoride4",-0.108752345494638
"alcohol 13:base 3:sulfonyl-fluoride1",0
"alcohol 13:base 3:sulfonyl-fluoride2",0
"alcohol 13:base 3:sulfonyl-fluoride3",0
"alcohol 13:base 3:sulfonyl-fluoride4",0
"alcohol 14:base 1:sulfonyl-fluoride1",0
"alcohol 14:base 1:sulfonyl-fluoride2",0
"alcohol 14:base 1:sulfonyl-fluoride3",0
"alcohol 14:base 1:sulfonyl-fluoride4",0
"alcohol 14:base 2:sulfonyl-fluoride1",0
"alcohol 14:base 2:sulfonyl-fluoride2",0
"alcohol 14:base 2:sulfonyl-fluoride3",0
"alcohol 14:base 2:sulfonyl-fluoride4",0
"alcohol 14:base 3:sulfonyl-fluoride1",0
"alcohol 14:base 3:sulfonyl-fluoride2",0
"alcohol 14:base 3:sulfonyl-fluoride3",0
"alcohol 14:base 3:sulfonyl-fluoride4",0
"alcohol 15:base 1:sulfonyl-fluoride1",0
"alcohol 15:base 1:sulfonyl-fluoride2",0
"alcohol 15:base 1:sulfonyl-fluoride3",0
"alcohol 15:base 1:sulfonyl-fluoride4",0
"alcohol 15:base 2:sulfonyl-fluoride1",0
"alcohol 15:base 2:sulfonyl-fluoride2",0
"alcohol 15:base 2:sulfonyl-fluoride3",0
"alcohol 15:base 2:sulfonyl-fluoride4",0
"alcohol 15:base 3:sulfonyl-fluoride1",0
"alcohol 15:base 3:sulfonyl-fluoride2",0
"alcohol 15:base 3:sulfonyl-fluoride3",0
"alcohol 15:base 3:sulfonyl-fluoride4",0
"alcohol 16:base 1:sulfonyl-fluoride1",0
"alcohol 16:base 1:sulfonyl-fluoride2",0
"alcohol 16:base 1:sulfonyl-fluoride3",0
"alcohol 16:base 1:sulfonyl-fluoride4",0
"alcohol 16:base 2:sulfonyl-fluoride1",0
"alcohol 16:base 2:sulfonyl-fluoride2",0
"alcohol 16:base 2:sulfonyl-fluoride3",0
"alcohol 16:base 2:sulfonyl-fluoride4",0
"alcohol 16:base 3:sulfonyl-fluoride1",0
"alcohol 16:base 3:sulfonyl-fluoride2",0
"alcohol 16:base 3:sulfonyl-fluoride3",0
"alcohol 16:base 3:sulfonyl-fluoride4",0
"alcohol 17:base 1:sulfonyl-fluoride1",0
"alcohol 17:base 1:sulfonyl-fluoride2",0
"alcohol 17:base 1:sulfonyl-fluoride3",0
"alcohol 17:base 1:sulfonyl-fluoride4",0
"alcohol 17:base 2:sulfonyl-fluoride1",0
"alcohol 17:base 2:sulfonyl-fluoride2",0
"alcohol 17:base 2:sulfonyl-fluoride3",0
"alcohol 17:base 2:sulfonyl-fluoride4",0
"alcohol 17:base 3:sulfonyl-fluoride1",0
"alcohol 17:base 3:sulfonyl-fluoride2",0
"alcohol 17:base 3:sulfonyl-fluoride3",0
"alcohol 17:base 3:sulfonyl-fluoride4",0
"alcohol 18:base 1:sulfonyl-fluoride1",0
"alcohol 18:base 1:sulfonyl-fluoride2",0
"alcohol 18:base 1:sulfonyl-fluoride3",0
"alcohol 18:base 1:sulfonyl-fluoride4",0
"alcohol 18:base 2:sulfonyl-fluoride1",0
"alcohol 18:base 2:sulfonyl-fluoride2",0
"alcohol 18:base 2:sulfonyl-fluoride3",0
"alcohol 18:base 2:sulfonyl-fluoride4",0
"alcohol 18:base 3:sulfonyl-fluoride1",0
"alcohol 18:base 3:sulfonyl-fluoride2",0
"alcohol 18:base 3:sulfonyl-fluoride3",0
"alcohol 18:base 3:sulfonyl-fluoride4",0
"alcohol 19:base 1:sulfonyl-fluoride1",0
"alcohol 19:base 1:sulfonyl-fluoride2",0
"alcohol 19:base 1:sulfonyl-fluoride3",0
"alcohol 19:base 1:sulfonyl-fluoride4",0
"alcohol 19:base 2:sulfonyl-fluoride1",0
"alcohol 19:base 2:sulfonyl-fluoride2",0
"alcohol 19:base 2:sulfonyl-fluoride3",0
"alcohol 19:base 2:sulfonyl-fluoride4",0
"alcohol 19:base 3:sulfonyl-fluoride1",0
"alcohol 19:base 3:sulfonyl-fluoride2",0
"alcohol 19:base 3:sulfonyl-fluoride3",0
"alcohol 19:base 3:sulfonyl-fluoride4",0
"alcohol 20:base 1:sulfonyl-fluoride1",0
"alcohol 20:base 1:sulfonyl-fluoride2",0
"alcohol 20:base 1:sulfonyl-fluoride3",0
"alcohol 20:base 1:sulfonyl-fluoride4",0
"alcohol 20:base 2:sulfonyl-fluoride1",0
"alcohol 20:base 2:sulfonyl-fluoride2",0
"alcohol 20:base 2:sulfonyl-fluoride3",0
"alcohol 20:base 2:sulfonyl-fluoride4",0
"alcohol 20:base 3:sulfonyl-fluoride1",0
"alcohol 20:base 3:sulfonyl-fluoride2",0
"alcohol 20:base 3:sulfonyl-fluoride3",0
"alcohol 20:base 3:sulfonyl-fluoride4",0
"alcohol 21:base 1:sulfonyl-fluoride1",0
"alcohol 21:base 1:sulfonyl-fluoride2",0
"alcohol 21:base 1:sulfonyl-fluoride3",0
"alcohol 21:base 1:sulfonyl-fluoride4",0
"alcohol 21:base 2:sulfonyl-fluoride1",0
"alcohol 21:base 2:sulfonyl-fluoride2",0
"alcohol 21:base 2:sulfonyl-fluoride3",0
"alcohol 21:base 2:sulfonyl-fluoride4",-0.0822462894570912
"alcohol 21:base 3:sulfonyl-fluoride1",0
"alcohol 21:base 3:sulfonyl-fluoride2",0
"alcohol 21:base 3:sulfonyl-fluoride3",0
"alcohol 21:base 3:sulfonyl-fluoride4",0
"alcohol 22:base 1:sulfonyl-fluoride1",0
"alcohol 22:base 1:sulfonyl-fluoride2",0
"alcohol 22:base 1:sulfonyl-fluoride3",0
"alcohol 22:base 1:sulfonyl-fluoride4",0
"alcohol 22:base 2:sulfonyl-fluoride1",0
"alcohol 22:base 2:sulfonyl-fluoride2",0
"alcohol 22:base 2:sulfonyl-fluoride3",0
"alcohol 22:base 2:sulfonyl-fluoride4",0
"alcohol 22:base 3:sulfonyl-fluoride1",0
"alcohol 22:base 3:sulfonyl-fluoride2",0
